[1] 2015-09-06


@@@@@@@@@@@@@@@@@@@
 POSTERIOR SUMMARY 
@@@@@@@@@@@@@@@@@@@@@

$summary
                     mean   se_mean      sd        2.5%          25%         50%         75%
  beta[2,8]         0.41090 0.12003     0.17971     0.335975     0.40967     0.49152     0.65899
  beta[2,9]         0.01568 0.00308     0.00941     0.013602     0.01571     0.01765     0.02183
  beta[3,1]        -4.23086 0.28072    -4.76770    -4.422208    -4.22227    -4.05853    -3.67519
  beta[3,2]         0.58036 0.39963    -0.21517     0.327414     0.60781     0.86913     1.32173
  beta[3,3]         6.06884 0.21628     5.65373     5.920924     6.06486     6.21287     6.53299
  beta[3,4]         2.10457 0.36819     1.38445     1.882666     2.13491     2.34771     2.78878
  beta[3,5]         2.87209 0.19941     2.50308     2.735045     2.86951     3.00877     3.25281
  beta[3,6]         0.13028 0.12599    -0.10219     0.045324     0.12698     0.21303     0.36617
  beta[3,7]         0.27655 0.13840    -0.00666     0.177843     0.28066     0.36264     0.55061
  beta[3,8]        -0.10886 0.15279    -0.41172    -0.214388    -0.11086    -0.00452     0.17598
  beta[3,9]         0.00496 0.00417    -0.00307     0.002042     0.00495     0.00787     0.01326
  beta[4,1]        -4.28228 0.24970    -4.75508    -4.456458    -4.25732    -4.11093    -3.81876
  beta[4,2]         1.76432 0.25834     1.25205     1.593452     1.75385     1.96145     2.22985
  beta[4,3]         1.84539 0.42745     0.87410     1.569816     1.87446     2.12309     2.62227
  beta[4,4]         7.24210 0.19762     6.84765     7.104213     7.24006     7.38639     7.62616
  beta[4,5]         3.09937 0.19598     2.73696     2.974439     3.08476     3.22885     3.48768
  beta[4,6]         0.05058 0.11224    -0.17876    -0.027490     0.04799     0.12921     0.26319
  beta[4,7]         0.08775 0.12956    -0.16188     0.002305     0.08923     0.17625     0.33352
  beta[4,8]         0.11773 0.14220    -0.18447     0.028118     0.11946     0.21821     0.38106
  beta[4,9]         0.00263 0.00365    -0.00484     0.000282     0.00254     0.00513     0.00960
  beta[5,1]        -1.91794 0.16979    -2.27133    -2.026217    -1.92407    -1.80173    -1.59028
  beta[5,2]         1.29532 0.16854     0.94831     1.186704     1.30556     1.40937     1.61269
  beta[5,3]         3.22102 0.19176     2.87034     3.083774     3.21559     3.34782     3.58665
  beta[5,4]         2.94105 0.17550     2.61342     2.822281     2.93291     3.05294     3.28226
  beta[5,5]         4.26240 0.11294     4.04675     4.186823     4.26204     4.33568     4.48530
  beta[5,6]        -0.35469 0.08746    -0.52804    -0.406347    -0.35504    -0.30086    -0.17653
  beta[5,7]        -0.22287 0.09562    -0.41886    -0.286051    -0.21936    -0.15648    -0.04777
  beta[5,8]         0.43568 0.10362     0.24010     0.366669     0.43893     0.50511     0.63537
  beta[5,9]        -0.01538 0.00295    -0.02110    -0.017255    -0.01549    -0.01339    -0.00907
  beta[6,1]        -7.69532 0.49023    -8.66626    -8.011562    -7.68775    -7.35014    -6.78522
  beta[6,2]         1.29409 0.27775     0.79951     1.102404     1.28916     1.49623     1.80356
  beta[6,3]         2.33047 0.40384     1.51278     2.072692     2.33607     2.60863     3.11801
  beta[6,4]         2.78920 0.30851     2.20651     2.565591     2.79112     3.00435     3.35379
  beta[6,5]         1.67666 0.30883     1.09552     1.459685     1.67212     1.89624     2.28597
  beta[6,6]        -0.81002 0.20535    -1.21494    -0.942195    -0.80449    -0.66893    -0.43354
  beta[6,7]        -0.73504 0.20914    -1.16739    -0.874583    -0.72694    -0.59001    -0.32772
  beta[6,8]        -0.55916 0.21264    -0.95483    -0.702311    -0.56847    -0.42072    -0.15068
  beta[6,9]         0.08320 0.00665     0.07058     0.078668     0.08300     0.08709     0.09709
  lp__          -5948.27853 4.69271 -5958.46569 -5951.103577 -5948.06786 -5944.81754 -5940.19196

, , chains = chain:2

               stats
parameter              mean      sd        2.5%          25%         50%         75%       97.5%
  beta_raw[1,1]    -3.98807 0.21212    -4.40902    -4.124202    -3.98595    -3.84610    -3.56977
